Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
900034;01.01.2017; Purchase; Laptop Type 6, HP;19;1585;30115; C;10
900035;01.01.2017; Purchase; Hard Drive Type 6, Huawei;7;101;707; C;10
900036;01.01.2017; Purchase; Laptop Type 1, HP;15;1009;15135; C;10
900037;01.01.2017; Purchase; Microphone Type 1, Dell;5;206;1030; A;10
900038;01.01.2017; Purchase; Keyboard Type 1, HP;15;68;1020; A;10
900039;01.01.2017; Purchase; Speakers Type 7, HP;19;120;2280; B;10
900040;01.01.2017; Purchase; Mouse Type 1, Dell;17;51;867; B;10
900041;01.01.2017; Purchase; Mouse Type 1, Samsung;9;36;324; B;10
900042;01.01.2017; Purchase; Mouse Type 6, Dell;19;41;779; B;10
900043;01.01.2017; Purchase; Phone Type 1, Samsung;20;394;7880; B;10
900044;01.01.2017; Purchase; Tablet Type 1, Samsung;10;249;2490; B;10
900045;01.01.2017; Purchase; Hard Drive Type 2, Samsung;19;107;2033; B;10
900046;01.01.2017; Purchase; Keyboard Type 3, HP;15;85;1275; B;10
900047;01.01.2017; Purchase; Tablet Type 5, Huawei;20;207;4140; B;10
900048;01.01.2017; Purchase; Desktop Type 4, Huawei;5;709;3545; B;10
900049;01.01.2017; Purchase; Headphones Type 3, Dell;19;35;665; B;10
900050;01.01.2017; Purchase; Keyboard Type 2, Samsung;8;106;848; B;10
900051;01.01.2017; Purchase; Microphone Type 1, HP;17;197;3349; C;10
900052;01.01.2017; Purchase; Mouse Type 5, HP;11;59;649; C;10
900053;01.01.2017; Purchase; Desktop Type 9, Huawei;7;562;3934; C;10
900054;01.01.2017; Purchase; Desktop Type 8, HP;19;457;8683; C;10
900055;01.01.2017; Purchase; Hard Drive Type 1, Huawei;17;110;1870; C;10
900056;01.01.2017; Purchase; Hard Drive Type 6, HP;15;123;1845; C;10
900057;01.01.2017; Purchase; Memory Type 4, Dell;7;22;154; C;10
900058;01.01.2017; Purchase; Laptop Type 6, Samsung;16;1582;25312; A;10
900059;01.01.2017; Purchase; Laptop Type 5, HP;9;2214;19926; A;10
900060;01.01.2017; Purchase; Desktop Type 1, Huawei;13;731;9503; A;10
900061;01.01.2017; Purchase; Charger Type 2, HP;14;33;462; A;10
900062;01.01.2017; Purchase; Hard Drive Type 2, Huawei;9;110;990; A;10
900063;01.01.2017; Purchase; Desktop Type 6, Samsung;13;371;4823; B;10
900064;01.01.2017; Purchase; Phone Type 2, Samsung;9;427;3843; B;10
900065;01.01.2017; Purchase; Desktop Type 4, Dell;11;523;5753; B;10
900066;01.01.2017; Purchase; Smart Watch Type 1, Samsung;12;130;1560; B;10
900067;01.01.2017; Purchase; Headphones Type 6, Huawei;14;33;462; B;10
900068;01.01.2017; Purchase; Memory Type 1, Dell;8;16;128; B;10
900069;01.01.2017; Purchase; Phone Type 3, Huawei;20;542;10840; B;10
900070;01.01.2017; Purchase; Speakers Type 6, HP;19;78;1482; B;10
900071;01.01.2017; Purchase; Memory Type 1, Samsung;14;10;140; B;10
900072;01.01.2017; Purchase; Monitor Type 1, Samsung;8;160;1280; B;10
900073;01.01.2017; Purchase; Phone Type 9, Samsung;14;194;2716; B;10
900074;01.01.2017; Purchase; Phone Type 2, HP;7;457;3199; B;10
900075;01.01.2017; Purchase; Keyboard Type 4, Dell;10;95;950; B;10
900076;01.01.2017; Purchase; Speakers Type 7, Dell;14;52;728; B;10
900077;01.01.2017; Purchase; Phone Type 7, Huawei;6;145;870; B;10
900078;01.01.2017; Purchase; Phone Type 1, HP;15;528;7920; B;10
900079;01.01.2017; Purchase; Phone Type 4, Samsung;18;518;9324; B;10
900080;01.01.2017; Purchase; Phone Type 10, Dell;15;234;3510; B;10
900081;01.01.2017; Purchase; Desktop Type 11, Huawei;15;445;6675; B;10
900082;01.01.2017; Purchase; Phone Type 5, Dell;18;434;7812; B;10
900083;01.01.2017; Purchase; Phone Type 8, Huawei;7;162;1134; B;10
900084;01.01.2017; Purchase; Microphone Type 2, Samsung;20;91;1820; B;10
900085;01.01.2017; Purchase; Microphone Type 3, Huawei;18;149;2682; B;10
900086;01.01.2017; Purchase; Phone Type 1, Dell;12;327;3924; B;10
900087;01.01.2017; Purchase; Phone Type 11, Samsung;10;209;2090; B;10
900088;01.01.2017; Purchase; Monitor Type 4, Huawei;17;254;4318; B;10
900089;01.01.2017; Purchase; Hard Drive Type 8, Samsung;14;125;1750; B;10
900090;01.01.2017; Purchase; Hard Drive Type 3, Huawei;10;111;1110; B;10
900091;01.01.2017; Purchase; Microphone Type 2, Dell;10;149;1490; C;10
900092;01.01.2017; Purchase; Phone Type 1, Huawei;5;226;1130; C;10
900093;01.01.2017; Purchase; Headphones Type 4, Dell;15;63;945; C;10
900094;01.01.2017; Purchase; Monitor Type 2, HP;9;272;2448; C;10
900095;01.01.2017; Purchase; Phone Type 4, Dell;9;292;2628; C;10
900096;01.01.2017; Purchase; Desktop Type 11, Dell;11;567;6237; C;10
900097;01.01.2017; Purchase; Desktop Type 12, HP;11;645;7095; C;10
900098;01.01.2017; Purchase; Desktop Type 12, Samsung;5;447;2235; C;10
900099;01.01.2017; Purchase; Headphones Type 1, Dell;15;67;1005; C;10
900100;01.01.2017; Purchase; Smart Watch Type 2, HP;11;86;946; C;10
900101;01.01.2017; Purchase; Hard Drive Type 3, Dell;7;108;756; C;10
900102;01.01.2017; Purchase; Charger Type 2, Huawei;7;23;161; C;10
900103;01.01.2017; Purchase; Desktop Type 10, HP;8;398;3184; C;10
900104;01.01.2017; Purchase; Mouse Type 7, Huawei;12;35;420; C;10
900105;01.01.2017; Purchase; Charger Type 1, HP;8;30;240; C;10
900106;01.01.2017; Purchase; Keyboard Type 1, Dell;7;104;728; C;10
900107;01.01.2017; Purchase; Monitor Type 1, HP;5;256;1280; A;10
900108;01.01.2017; Purchase; Tablet Type 5, Dell;17;261;4437; A;10
900109;01.01.2017; Purchase; Headphones Type 6, Dell;18;74;1332; A;10
900110;01.01.2017; Purchase; Desktop Type 4, Samsung;20;588;11760; A;10
900111;01.01.2017; Purchase; Memory Type 4, Samsung;18;19;342; A;10
900112;01.01.2017; Purchase; Phone Type 2, Dell;12;464;5568; A;10
900113;01.01.2017; Purchase; Tablet Type 1, Dell;11;279;3069; A;10
900114;01.01.2017; Purchase; Mouse Type 3, Samsung;7;55;385; A;10
900115;01.01.2017; Purchase; Desktop Type 8, Samsung;6;526;3156; A;10
900116;01.01.2017; Purchase; Phone Type 8, Samsung;8;499;3992; B;10
900117;01.01.2017; Purchase; Desktop Type 6, HP;14;573;8022; B;10
900118;01.01.2017; Purchase; Headphones Type 3, Samsung;5;48;240; B;10
900119;01.01.2017; Purchase; Mouse Type 6, Huawei;18;29;522; B;10
900120;01.01.2017; Purchase; Tablet Type 6, Huawei;10;193;1930; B;10
900121;01.01.2017; Purchase; Laptop Type 6, Dell;16;1040;16640; B;10
900122;01.01.2017; Purchase; Phone Type 8, Dell;6;382;2292; B;10
900123;01.01.2017; Purchase; Speakers Type 3, HP;10;73;730; B;10
900124;01.01.2017; Purchase; Hard Drive Type 3, Samsung;5;125;625; B;10
900125;01.01.2017; Purchase; Speakers Type 7, Samsung;12;44;528; B;10
900126;01.01.2017; Purchase; Smart Watch Type 2, Huawei;16;111;1776; B;10
900127;01.01.2017; Purchase; Speakers Type 6, Huawei;5;54;270; B;10
900128;01.01.2017; Purchase; Headphones Type 5, Huawei;10;50;500; B;10
900129;01.01.2017; Purchase; Speakers Type 6, Dell;18;106;1908; B;10
900130;01.01.2017; Purchase; Desktop Type 3, Huawei;14;518;7252; B;10
900131;01.01.2017; Purchase; Hard Drive Type 4, Huawei;13;99;1287; B;10
900132;01.01.2017; Purchase; Speakers Type 5, Samsung;8;82;656; B;10
900133;01.01.2017; Purchase; Laptop Type 5, Huawei;5;1970;9850; B;10
900134;01.01.2017; Purchase; Headphones Type 5, Dell;10;62;620; B;10
900135;01.01.2017; Purchase; Tablet Type 3, Huawei;18;191;3438; B;10
900136;01.01.2017; Purchase; Desktop Type 7, Huawei;19;463;8797; B;10
900137;01.01.2017; Purchase; Speakers Type 2, HP;7;71;497; B;10
900138;01.01.2017; Purchase; Headphones Type 5, Samsung;18;59;1062; B;10
900139;01.01.2017; Purchase; Mouse Type 7, Samsung;11;50;550; B;10
900140;01.01.2017; Purchase; Hard Drive Type 1, HP;16;116;1856; B;10
900141;01.01.2017; Purchase; Headphones Type 5, HP;7;56;392; B;10
900142;01.01.2017; Purchase; Laptop Type 5, Dell;7;1824;12768; B;10
900143;01.01.2017; Purchase; Tablet Type 4, Samsung;17;246;4182; C;10
900144;01.01.2017; Purchase; Laptop Type 2, Huawei;15;1505;22575; C;10
900145;01.01.2017; Purchase; Speakers Type 1, HP;15;72;1080; C;10
900146;01.01.2017; Purchase; Memory Type 3, Dell;9;22;198; C;10
900147;01.01.2017; Purchase; Tablet Type 7, Samsung;16;102;1632; C;10
900148;01.01.2017; Purchase; Hard Drive Type 4, HP;19;115;2185; C;10
900149;01.01.2017; Purchase; Phone Type 6, HP;16;507;8112; C;10
900150;01.01.2017; Purchase; Mouse Type 6, HP;17;66;1122; C;10
900151;01.01.2017; Purchase; Phone Type 8, HP;9;158;1422; C;10
900152;01.01.2017; Purchase; Tablet Type 7, Dell;5;149;745; C;10
900153;01.01.2017; Purchase; Desktop Type 6, Huawei;14;530;7420; C;10
900154;01.01.2017; Purchase; Mouse Type 1, Huawei;10;53;530; C;10
900155;01.01.2017; Purchase; Laptop Type 4, Dell;7;1503;10521; C;10
900156;01.01.2017; Purchase; Phone Type 3, HP;20;274;5480; C;10
900157;01.01.2017; Purchase; Tablet Type 2, Dell;14;255;3570; C;10
900158;01.01.2017; Purchase; Mouse Type 3, Huawei;11;66;726; C;10
900159;01.01.2017; Purchase; Phone Type 9, HP;14;314;4396; C;10
900160;01.01.2017; Purchase; Headphones Type 6, Samsung;17;37;629; C;10
900161;01.01.2017; Purchase; Mouse Type 5, Samsung;20;53;1060; C;10
900162;01.01.2017; Purchase; Memory Type 1, HP;5;10;50; C;10
900163;01.01.2017; Purchase; Tablet Type 2, Samsung;12;127;1524; C;10
900164;01.01.2017; Purchase; Desktop Type 8, Dell;5;366;1830; C;10
900165;01.01.2017; Purchase; Desktop Type 11, HP;12;612;7344; C;10
900166;01.01.2017; Purchase; Hard Drive Type 7, Dell;17;105;1785; C;10
900167;01.01.2017; Purchase; Tablet Type 6, Samsung;9;173;1557; A;10
900168;01.01.2017; Purchase; Phone Type 5, Huawei;18;348;6264; A;10
900169;01.01.2017; Purchase; Speakers Type 4, Huawei;11;73;803; A;10
900170;01.01.2017; Purchase; Speakers Type 2, Huawei;12;48;576; A;10
900171;01.01.2017; Purchase; Laptop Type 4, Huawei;13;1205;15665; A;10
900172;01.01.2017; Purchase; Phone Type 3, Dell;12;271;3252; A;10
900173;01.01.2017; Purchase; Desktop Type 12, Dell;18;420;7560; A;10
900174;01.01.2017; Purchase; Hard Drive Type 7, Samsung;11;104;1144; A;10
900175;01.01.2017; Purchase; Speakers Type 1, Dell;10;54;540; A;10
900176;01.01.2017; Purchase; Microphone Type 2, HP;15;102;1530; A;10
900177;01.01.2017; Purchase; Hard Drive Type 7, Huawei;19;122;2318; A;10
900178;01.01.2017; Purchase; Phone Type 3, Samsung;20;127;2540; A;10
900179;01.01.2017; Purchase; Monitor Type 2, Huawei;17;223;3791; A;10
900180;01.01.2017; Purchase; Smart Watch Type 1, Huawei;8;98;784; A;10
900181;01.01.2017; Purchase; Desktop Type 9, Samsung;18;404;7272; A;10
900182;01.01.2017; Purchase; Phone Type 7, Samsung;13;319;4147; A;10
900183;01.01.2017; Purchase; Headphones Type 4, HP;14;67;938; A;10
900184;01.01.2017; Purchase; Memory Type 3, HP;10;9;90; A;10
900185;01.01.2017; Purchase; Desktop Type 7, Dell;8;570;4560; A;10
900186;01.01.2017; Purchase; Tablet Type 3, HP;8;255;2040; A;10
900187;01.01.2017; Purchase; Phone Type 6, Samsung;20;283;5660; A;10
900188;01.01.2017; Purchase; Headphones Type 2, Samsung;20;41;820; A;10
900189;01.01.2017; Purchase; Laptop Type 1, Dell;20;2031;40620; A;10
900190;01.01.2017; Purchase; Tablet Type 2, Huawei;10;115;1150; A;10
900191;01.01.2017; Purchase; Mouse Type 7, Dell;16;57;912; A;10
900192;01.01.2017; Purchase; Microphone Type 3, Samsung;9;141;1269; A;10
900193;01.01.2017; Purchase; Mouse Type 2, Samsung;9;59;531; A;10
900194;01.01.2017; Purchase; Hard Drive Type 6, Dell;15;112;1680; A;10
900195;01.01.2017; Purchase; Hard Drive Type 8, HP;20;103;2060; A;10
900196;01.01.2017; Purchase; Speakers Type 2, Dell;14;65;910; A;10
900197;01.01.2017; Purchase; Hard Drive Type 5, HP;10;112;1120; B;10
900198;01.01.2017; Purchase; Desktop Type 1, Dell;9;490;4410; B;10
900199;01.01.2017; Purchase; Phone Type 11, Dell;9;481;4329; B;10
900200;01.01.2017; Purchase; Tablet Type 3, Dell;19;246;4674; B;10
900201;01.01.2017; Purchase; Charger Type 1, Dell;18;18;324; B;10
900202;01.01.2017; Purchase; Keyboard Type 2, Huawei;14;66;924; B;10
900203;01.01.2017; Purchase; Memory Type 3, Huawei;5;22;110; B;10
900204;01.01.2017; Purchase; Phone Type 2, Huawei;18;321;5778; C;10
900205;01.01.2017; Purchase; Tablet Type 4, HP;13;187;2431; C;10
900206;01.01.2017; Purchase; Monitor Type 3, Huawei;14;231;3234; C;10
900207;01.01.2017; Purchase; Tablet Type 6, Dell;6;115;690; C;10
900208;01.01.2017; Purchase; Monitor Type 2, Dell;13;224;2912; C;10
900209;01.01.2017; Purchase; Phone Type 9, Huawei;10;407;4070; C;10
900210;01.01.2017; Purchase; Phone Type 5, Samsung;8;516;4128; C;10
900211;01.01.2017; Purchase; Laptop Type 1, Huawei;11;2237;24607; C;10
900212;01.01.2017; Purchase; Tablet Type 6, HP;6;221;1326; C;10
900213;01.01.2017; Purchase; Laptop Type 3, HP;17;1154;19618; C;10
900214;01.01.2017; Purchase; Keyboard Type 1, Samsung;13;70;910; C;10
900215;01.01.2017; Purchase; Desktop Type 7, HP;6;529;3174; C;10
900216;01.01.2017; Purchase; Speakers Type 3, Samsung;19;72;1368; C;10
900217;01.01.2017; Purchase; Mouse Type 4, HP;16;40;640; C;10
900218;01.01.2017; Purchase; Desktop Type 10, Dell;8;481;3848; C;10
900219;01.01.2017; Purchase; Phone Type 5, HP;12;510;6120; C;10
900220;01.01.2017; Purchase; Headphones Type 1, Huawei;20;66;1320; C;10
900221;01.01.2017; Purchase; Microphone Type 2, Huawei;17;160;2720; C;10
900222;01.01.2017; Purchase; Memory Type 2, Dell;12;11;132; C;10
900223;01.01.2017; Purchase; Desktop Type 9, Dell;6;364;2184; C;10
900224;01.01.2017; Purchase; Desktop Type 5, HP;12;507;6084; C;10
900225;01.01.2017; Purchase; Monitor Type 4, Samsung;6;255;1530; C;10
900226;01.01.2017; Purchase; Hard Drive Type 5, Huawei;10;119;1190; C;10
900227;01.01.2017; Purchase; Desktop Type 2, Dell;18;504;9072; C;10
900228;01.01.2017; Purchase; Tablet Type 3, Samsung;16;112;1792; A;10
900229;01.01.2017; Purchase; Charger Type 1, Huawei;13;12;156; A;10
900230;01.01.2017; Purchase; Smart Watch Type 3, Samsung;6;69;414; B;10
900231;01.01.2017; Purchase; Speakers Type 7, Huawei;5;75;375; B;10
900232;01.01.2017; Purchase; Desktop Type 5, Dell;8;486;3888; B;10
900233;01.01.2017; Purchase; Hard Drive Type 2, HP;6;115;690; B;10
900234;01.01.2017; Purchase; Phone Type 4, Huawei;20;164;3280; B;10
900235;01.01.2017; Purchase; Headphones Type 3, Huawei;8;43;344; B;10
900236;01.01.2017; Purchase; Tablet Type 5, Samsung;6;140;840; B;10
900237;01.01.2017; Purchase; Memory Type 4, HP;15;24;360; B;10
900238;01.01.2017; Purchase; Tablet Type 7, Huawei;5;123;615; B;10
900239;01.01.2017; Purchase; Phone Type 6, Huawei;19;130;2470; B;10
900240;01.01.2017; Purchase; Monitor Type 3, Samsung;15;174;2610; B;10
900241;01.01.2017; Purchase; Hard Drive Type 1, Dell;15;113;1695; B;10
900242;01.01.2017; Purchase; Speakers Type 2, Samsung;9;44;396; B;10
900243;01.01.2017; Purchase; Smart Watch Type 2, Dell;13;93;1209; B;10
900244;01.01.2017; Purchase; Desktop Type 3, Dell;18;703;12654; B;10
900245;01.01.2017; Purchase; Memory Type 1, Huawei;8;14;112; B;10
900246;01.01.2017; Purchase; Speakers Type 1, Huawei;18;80;1440; B;10
900247;01.01.2017; Purchase; Smart Watch Type 2, Samsung;5;78;390; B;10
900248;01.01.2017; Purchase; Desktop Type 5, Samsung;12;425;5100; B;10
900249;01.01.2017; Purchase; Mouse Type 3, Dell;14;67;938; B;10
900250;01.01.2017; Purchase; Phone Type 10, HP;11;153;1683; B;10
900251;01.01.2017; Purchase; Headphones Type 6, HP;6;30;180; B;10
900252;01.01.2017; Purchase; Keyboard Type 1, Huawei;15;96;1440; B;10
900253;01.01.2017; Purchase; Headphones Type 2, HP;18;64;1152; B;10
900254;01.01.2017; Purchase; Hard Drive Type 8, Dell;20;110;2200; B;10
900255;01.01.2017; Purchase; Keyboard Type 2, Dell;7;68;476; B;10
900256;01.01.2017; Purchase; Charger Type 2, Samsung;6;33;198; B;10
900257;01.01.2017; Purchase; Phone Type 7, Dell;11;387;4257; B;10
900258;01.01.2017; Purchase; Hard Drive Type 8, Huawei;14;108;1512; C;10
900259;01.01.2017; Purchase; Desktop Type 2, Huawei;5;350;1750; C;10
900260;01.01.2017; Purchase; Laptop Type 2, Dell;5;784;3920; C;10
900261;01.01.2017; Purchase; Speakers Type 5, Dell;12;91;1092; C;10
900262;01.01.2017; Purchase; Laptop Type 2, Samsung;6;937;5622; C;10
900263;01.01.2017; Purchase; Laptop Type 3, Samsung;11;1336;14696; C;10
900264;01.01.2017; Purchase; Speakers Type 3, Huawei;16;88;1408; C;10
900265;01.01.2017; Purchase; Tablet Type 1, Huawei;15;222;3330; C;10
900266;01.01.2017; Purchase; Headphones Type 2, Dell;19;59;1121; C;10
900267;01.01.2017; Purchase; Headphones Type 2, Huawei;8;39;312; C;10
900268;01.01.2017; Purchase; Desktop Type 7, Samsung;9;724;6516; C;10
900269;01.01.2017; Purchase; Phone Type 12, HP;20;412;8240; C;10
900270;01.01.2017; Purchase; Desktop Type 12, Huawei;16;385;6160; C;10
900271;01.01.2017; Purchase; Keyboard Type 4, Samsung;20;102;2040; C;10
900272;01.01.2017; Purchase; Phone Type 10, Samsung;6;475;2850; C;10
900273;01.01.2017; Purchase; Monitor Type 3, HP;19;191;3629; C;10
900274;01.01.2017; Purchase; Phone Type 9, Dell;10;167;1670; C;10
900275;01.01.2017; Purchase; Laptop Type 4, HP;14;1019;14266; C;10
900276;01.01.2017; Purchase; Mouse Type 2, Huawei;9;47;423; C;10
900277;01.01.2017; Purchase; Smart Watch Type 3, Dell;18;98;1764; C;10
900278;01.01.2017; Purchase; Phone Type 11, HP;20;546;10920; C;10
900279;01.01.2017; Purchase; Laptop Type 3, Huawei;20;1241;24820; C;10
900280;01.01.2017; Purchase; Mouse Type 5, Huawei;9;45;405; C;10
900281;01.01.2017; Purchase; Hard Drive Type 7, HP;16;116;1856; C;10
900282;01.01.2017; Purchase; Speakers Type 4, HP;8;57;456; C;10
900283;01.01.2017; Purchase; Desktop Type 10, Samsung;5;606;3030; C;10
900284;01.01.2017; Purchase; Monitor Type 1, Dell;12;261;3132; C;10
900285;01.01.2017; Purchase; Microphone Type 1, Huawei;14;211;2954; C;10
900286;01.01.2017; Purchase; Mouse Type 4, Dell;7;42;294; A;10
900287;01.01.2017; Purchase; Desktop Type 10, Huawei;10;742;7420; A;10
900288;01.01.2017; Purchase; Tablet Type 4, Huawei;5;118;590; A;10
900289;01.01.2017; Purchase; Tablet Type 2, HP;13;268;3484; A;10
900290;01.01.2017; Purchase; Smart Watch Type 1, HP;6;92;552; A;10
900291;01.01.2017; Purchase; Memory Type 2, HP;9;19;171; A;10
900292;01.01.2017; Purchase; Desktop Type 8, Huawei;20;548;10960; A;10
900293;01.01.2017; Purchase; Keyboard Type 3, Dell;8;89;712; A;10
900294;01.01.2017; Purchase; Laptop Type 1, Samsung;12;971;11652; A;10
900295;01.01.2017; Purchase; Desktop Type 11, Samsung;16;688;11008; A;10
900296;01.01.2017; Purchase; Laptop Type 2, HP;5;2384;11920; A;10
900297;01.01.2017; Purchase; Phone Type 12, Samsung;5;465;2325; A;10
900298;01.01.2017; Purchase; Smart Watch Type 3, Huawei;14;126;1764; A;10
900299;01.01.2017; Purchase; Headphones Type 1, HP;6;66;396; A;10
900300;01.01.2017; Purchase; Keyboard Type 3, Huawei;15;66;990; A;10
900301;01.01.2017; Purchase; Speakers Type 5, HP;15;85;1275; A;10
900302;01.01.2017; Purchase; Microphone Type 3, Dell;19;85;1615; A;10
900303;01.01.2017; Purchase; Desktop Type 2, HP;7;446;3122; A;10
900304;01.01.2017; Purchase; Phone Type 4, HP;13;301;3913; B;10
900305;01.01.2017; Purchase; Desktop Type 4, HP;5;519;2595; B;10
900306;01.01.2017; Purchase; Desktop Type 3, Samsung;9;415;3735; B;10
900307;01.01.2017; Purchase; Desktop Type 1, HP;19;444;8436; B;10
900308;01.01.2017; Purchase; Smart Watch Type 1, Dell;7;100;700; B;10
900309;01.01.2017; Purchase; Tablet Type 4, Dell;16;290;4640; B;10
900310;01.01.2017; Purchase; Smart Watch Type 3, HP;6;117;702; C;10
900311;01.01.2017; Purchase; Phone Type 6, Dell;20;322;6440; C;10
900312;01.01.2017; Purchase; Memory Type 2, Huawei;6;16;96; C;10
900313;01.01.2017; Purchase; Desktop Type 3, HP;6;671;4026; C;10
900314;01.01.2017; Purchase; Keyboard Type 3, Samsung;16;58;928; C;10
900315;01.01.2017; Purchase; Mouse Type 7, HP;17;59;1003; C;10
900316;01.01.2017; Purchase; Phone Type 12, Dell;16;280;4480; C;10
900317;01.01.2017; Purchase; Monitor Type 1, Huawei;15;191;2865; C;10
900318;01.01.2017; Purchase; Mouse Type 2, HP;7;37;259; C;10
900319;01.01.2017; Purchase; Monitor Type 3, Dell;18;229;4122; C;10
900320;01.01.2017; Purchase; Mouse Type 5, Dell;17;61;1037; C;10
900321;01.01.2017; Purchase; Hard Drive Type 5, Dell;20;101;2020; C;10
900322;01.01.2017; Purchase; Monitor Type 4, HP;6;268;1608; C;10
900323;01.01.2017; Purchase; Tablet Type 1, HP;7;201;1407; C;10
900324;01.01.2017; Purchase; Phone Type 12, Huawei;19;142;2698; C;10
900325;01.01.2017; Purchase; Microphone Type 1, Samsung;5;225;1125; C;10
900326;01.01.2017; Purchase; Speakers Type 6, Samsung;8;83;664; A;10
900327;01.01.2017; Purchase; Headphones Type 3, HP;12;68;816; A;10
900328;01.01.2017; Purchase; Laptop Type 3, Dell;7;1182;8274; A;10
900329;01.01.2017; Purchase; Headphones Type 4, Samsung;10;66;660; A;10
900330;01.01.2017; Purchase; Hard Drive Type 1, Samsung;6;105;630; B;10
900331;01.01.2017; Purchase; Mouse Type 2, Dell;14;66;924; B;10
900332;01.01.2017; Purchase; Charger Type 1, Samsung;10;18;180; B;10
900333;01.01.2017; Purchase; Mouse Type 1, HP;19;53;1007; B;10
900334;01.01.2017; Purchase; Monitor Type 4, Dell;7;154;1078; B;10
900335;01.01.2017; Purchase; Phone Type 10, Huawei;6;358;2148; C;10
900336;01.01.2017; Purchase; Phone Type 11, Huawei;6;493;2958; C;10
900337;01.01.2017; Purchase; Laptop Type 6, HP;6;1585;9510; C;10
900338;01.01.2017; Purchase; Hard Drive Type 6, Huawei;14;101;1414; C;10
900339;01.01.2017; Purchase; Laptop Type 1, HP;14;1009;14126; C;10
900340;01.01.2017; Purchase; Microphone Type 1, Dell;7;206;1442; A;10
900341;01.01.2017; Purchase; Keyboard Type 1, HP;18;68;1224; A;10
900342;01.01.2017; Purchase; Speakers Type 7, HP;10;120;1200; B;10
900343;01.01.2017; Purchase; Mouse Type 1, Dell;16;51;816; B;10
900344;01.01.2017; Purchase; Mouse Type 1, Samsung;8;36;288; B;10
900345;01.01.2017; Purchase; Mouse Type 6, Dell;17;41;697; B;10
900346;01.01.2017; Purchase; Phone Type 1, Samsung;11;394;4334; B;10
900347;01.01.2017; Purchase; Tablet Type 1, Samsung;5;249;1245; B;10
900348;01.01.2017; Purchase; Hard Drive Type 2, Samsung;11;107;1177; B;10
900349;01.01.2017; Purchase; Keyboard Type 3, HP;18;85;1530; B;10
900350;01.01.2017; Purchase; Tablet Type 5, Huawei;17;207;3519; B;10
900351;01.01.2017; Purchase; Desktop Type 4, Huawei;18;709;12762; B;10
900352;01.01.2017; Purchase; Headphones Type 3, Dell;5;35;175; B;10
900353;01.01.2017; Purchase; Keyboard Type 2, Samsung;5;106;530; B;10
900354;01.01.2017; Purchase; Microphone Type 1, HP;9;197;1773; C;10
900355;01.01.2017; Purchase; Mouse Type 5, HP;9;59;531; C;10
900356;01.01.2017; Purchase; Desktop Type 9, Huawei;5;562;2810; C;10
